,년도,리그,소속,선수명,포지션,등번호,출전시간(분),득점,도움,슈팅,유효슈팅,차단된슈팅,벗어난슈팅,PA내슈팅,PA외슈팅,오프사이드,프리킥,코너킥,스로인,드리블시도,드리블성공,드리블성공%,패스시도,패스성공,패스성공%,키패스,전방패스시도,전방패스성공,전방패스성공%,후방패스시도,후방패스성공,후방패스성공%,횡패스시도,횡패스성공,횡패스성공%,공격지역패스시도,공격지역패스성공,공격지역패스성공%,수비지역패스시도,수비지역패스성공,수비지역패스성공%,중앙지역패스시도,중앙지역패스성공,중앙지역패스성공%,롱패스시도,롱패스성공,롱패스성공%,중거리패스시도,중거리패스성공,중거리패스성공%,숏패스시도,숏패스성공,숏패스성공%,크로스시도,크로스성공,크로스성공%,탈압박,지상경합시도,지상경합성공,지상경합성공%,공중경합시도,공중경합성공,공중경합성공%,태클시도,태클성공,태클성공%,클리어링,인터셉트,차단,획득,블락,볼미스,파울,피파울,경고,퇴장
49,2023,K리그2,부산,박동진,대기,49,90,0,0,4,0,4,0,1,3,0,0,0,0,2,1,50.0,26,19,73.1,1,7,4,0.0,11,9,81.8,8,6,75.0,14,11,78.6,2,2,100.0,10,6,60.0,0,0,0.0,4,3,75.0,22,16,72.7,0,0,0.0,1,0,0,0.0,10,2,0.0,0,0,0.0,1,1,3,5,2,1,2,0,0,0
50,2023,K리그2,부산,박세진,대기,66,152,0,2,1,0,0,1,0,1,1,1,1,11,0,0,0.0,48,42,87.5,5,20,14,0.0,20,20,100.0,8,8,100.0,15,13,86.7,9,8,88.9,24,21,87.5,8,4,50.0,9,8,88.9,31,30,96.8,12,6,50.0,0,2,0,0.0,6,2,100.0,1,0,0.0,8,5,3,7,7,0,0,4,1,0
51,2023,K리그2,부산,박정인,대기,11,217,2,0,4,3,0,1,3,1,0,0,0,1,2,2,100.0,67,48,71.6,3,16,7,0.0,28,24,85.7,23,17,73.9,33,24,72.7,9,5,55.6,25,19,76.0,3,2,66.7,13,8,61.5,51,38,74.5,1,0,0.0,2,3,2,66.7,30,10,333.3,1,1,100.0,3,3,2,12,6,2,3,0,1,0
52,2023,K리그2,부산,박종우,대기,8,53,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0.0,29,21,72.4,0,14,8,0.0,7,7,100.0,8,6,75.0,7,6,85.7,5,5,100.0,17,10,58.8,1,0,0.0,13,10,76.9,15,11,73.3,1,0,0.0,0,1,0,0.0,2,2,200.0,1,0,0.0,0,5,2,4,3,0,2,1,0,0
53,2023,K리그2,부산,성호영,대기,23,158,0,0,3,0,1,2,2,1,0,0,1,8,0,0,0.0,60,48,80.0,4,25,17,0.0,18,18,100.0,17,13,76.5,25,21,84.0,10,8,80.0,25,19,76.0,3,1,33.3,15,11,73.3,42,36,85.7,6,2,33.3,0,1,0,0.0,9,1,100.0,4,1,25.0,5,3,5,18,4,2,5,2,0,0
54,2023,K리그2,부산,손휘,대기,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
55,2023,K리그2,부산,양세영,대기,30,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2,2,100.0,0,0,0,0.0,1,1,100.0,1,1,100.0,2,2,100.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2,2,100.0,0,0,0.0,0,0,0,0.0,1,0,0.0,1,0,0.0,0,0,0,1,0,0,0,0,0,0
56,2023,K리그2,부산,어정원,대기,2,244,0,0,5,1,2,2,1,4,1,1,0,12,3,1,33.3,117,103,88.0,4,45,37,0.0,28,28,100.0,44,38,86.4,44,38,86.4,20,16,80.0,53,49,92.5,4,3,75.0,30,23,76.7,83,77,92.8,9,3,33.3,2,5,3,60.0,4,2,40.0,7,4,57.1,10,10,2,11,4,3,3,3,0,0
57,2023,K리그2,부산,여름,대기,81,140,0,0,1,0,0,1,0,1,0,1,0,3,2,1,50.0,102,90,88.2,0,49,39,0.0,15,15,100.0,38,36,94.7,12,10,83.3,16,10,62.5,74,70,94.6,9,6,66.7,35,30,85.7,58,54,93.1,0,0,0.0,1,0,0,0.0,4,1,0.0,5,3,60.0,3,8,3,12,3,0,1,2,0,0
58,2023,K리그2,부산,이상헌,대기,22,96,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,39,34,87.2,3,12,7,0.0,9,9,100.0,18,18,100.0,20,16,80.0,2,1,50.0,17,17,100.0,4,3,75.0,10,8,80.0,25,23,92.0,5,0,0.0,0,3,3,100.0,3,1,33.3,0,0,0.0,1,0,0,6,1,0,1,2,0,0
